"カテゴリ","会社名","URL","お問い合わせフォームのURL","エリア","電話番号"
"魚料理","あさの","http://www.asano-it.co.jp","http://www.asano-it.co.jp/contact","東京都","03-3723-0562"
"魚料理","あさひ","http://www.kumihama-asahi.com","https://www.kumihama-asahi.com/お問い合わせ/","京都府","0772-83-0130"
"魚料理","あじや","https://www.nu-mshinsenkan.com","https://www.nu-mshinsenkan.com/contact","静岡県","055-964-1400"
"魚料理","あたらし屋","http://www.atarasiya.net","http://www.atarasiya.net/contact","和歌山県","073-459-1146"
"魚料理","あづま養魚場","http://fish-azuma.com","http://fish-azuma.com/inq","群馬県","0279-59-3621"
"魚料理","あつみ","http://atsumike.blog16.jp","http://atsumike.blog16.jp","東京都","03-3332-8394"
"魚料理","あなごや本店","http://www.anagoyahonten.jp","http://www.anagoyahonten.jp/contact","静岡県","054-253-0054"
"魚料理","あまご村","http://amago.aogaki.jp","http://amago.aogaki.jp","兵庫県","0795-87-5556"
"魚料理","いか清","http://ikasei.com","https://ikasei.com/contact","北海道","0138-54-1919"
"魚料理","いか鮮本家","http://www.ikasenhonke.com","http://www.ikasenhonke.com/contact","山口県","0835-28-7699"
"魚料理","いけす割烹こばやし","https://b087321.bizloop.jp","https://b087321.bizloop.jp/b087321/est/","福岡県","092-504-2877"
"魚料理","いけす料理柏","http://ikesu-kashiwa.jp","http://ikesu-kashiwa.jp/toiawase","千葉県","04-7164-7000"
"魚料理","いけ洲博多屋グリーンホテル内","http://www.hotelsasebo.com","https://www.hotelsasebo.com/contact.html","長崎県","0956-25-6261"
"魚料理","いずみ","http://www.izumi.burari.biz","http://www.izumi.burari.biz/subotoiawase.html","神奈川県","0465-68-0668"
"魚料理","いそや","http://www.newisoya.com","http://www.newisoya.com","福井県","0776-81-2030"
"魚料理","いとう","http://www.itoh.co.jp","https://www.itoh.co.jp/toiawase/","東京都","03-3541-4325"
"魚料理","いはや寿司本店","http://www.wakaebis.co.jp","https://www.wakaebis.co.jp/contact/index.html","三重県","059-224-0292"
"魚料理","うおぎん魚河岸料理","http://www.uogin.co.jp","http://www.uogin.co.jp/modinqu01_148/","兵庫県","078-682-8070"
